what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1352478853571
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1352478853572
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1352478853572
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1352478853573
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1352478853573
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1352478853574
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1352478853576
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1352478853577
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1352478853577
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1352478853578
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1352478853579
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1352478853580
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1352478853581
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1352478853582
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1352478853583
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1352478853584
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1352478853585
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1352478853586
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1352478853586
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1352478853586
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1352478853587
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1352478853587
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1352478853588
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1352478853589
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1352478853590
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1352478853591
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1352478853591
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1352478853592
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1352478853593
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1352478853593
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1352478853593
os,sysinfo,,,"linux",1352478853597
arch,sysinfo,,,"x86_64",1352478853597
ws,sysinfo,,,"gtk",1352478853597
locale,sysinfo,,,"eu_ES",1352478853597
processors,sysinfo,,,"2",1352478853598
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1352478853598
java.runtime.version,sysinfo,,,"1.7.0_03-b04",1352478853598
java.specification.name,sysinfo,,,"Java Platform API Specification",1352478853598
java.specification.vendor,sysinfo,,,"Oracle Corporation",1352478853598
java.specification.version,sysinfo,,,"1.7",1352478853598
java.vendor,sysinfo,,,"Oracle Corporation",1352478853598
java.version,sysinfo,,,"1.7.0_03",1352478853598
java.vm.info,sysinfo,,,"mixed mode",1352478853598
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1352478853598
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1352478853598
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1352478853598
java.vm.specification.version,sysinfo,,,"1.7",1352478853598
java.vm.vendor,sysinfo,,,"Oracle Corporation",1352478853598
java.vm.version,sysinfo,,,"22.1-b02",1352478853598
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1352478857592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352478870648
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1352478896559
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1352478896591
error,log,,,"Exception occurred while saving project preferences: /net.aldakur.app.unutopia.SplashActivity/.settings/org.eclipse.jdt.core.prefs.",1352478896603
error,log,,,"Exception occurred while saving project preferences: /net.aldakur.app.unutopia.SplashActivity/.settings/org.eclipse.jdt.core.prefs.",1352478896605
error,log,,,"Exception occurred while saving project preferences: /net.aldakur.app.unutopia.SplashActivity/.settings/org.eclipse.jdt.core.prefs.",1352478896606
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1352478896845
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1352478896959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352478897008
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1352478897099
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1352478897574
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1352478897581
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1352478899500
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1352478901606
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1352478901635
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1352478901771
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1352478901778
